Date,Sales
2014-06-01,0
2014-06-02,6071
2014-06-03,5614
2014-06-04,5229
2014-06-05,5278
2014-06-06,4957
2014-06-07,4923
2014-06-08,0
2014-06-09,0
2014-06-10,4607
2014-06-11,4207
2014-06-12,3702
2014-06-13,3901
2014-06-14,4757
2014-06-15,0
2014-06-16,4788
2014-06-17,5770
2014-06-18,5256
2014-06-19,0
2014-06-20,6362
2014-06-21,3982
2014-06-22,0
2014-06-23,3755
2014-06-24,3351
2014-06-25,3727
2014-06-26,2749
2014-06-27,4019
2014-06-28,5162
2014-06-29,0
2014-06-30,5738
2014-07-01,5138
2014-07-02,5161
2014-07-03,4756
2014-07-04,4025
2014-07-05,5176
2014-07-06,0
2014-07-07,4223
2014-07-08,4081
2014-07-09,3547
2014-07-10,3741
2014-07-11,4020
2014-07-12,4409
2014-07-13,0
2014-07-14,5083
2014-07-15,5298
2014-07-16,5424
2014-07-17,4685
2014-07-18,4609
2014-07-19,4084
2014-07-20,0
2014-07-21,4507
2014-07-22,3933
2014-07-23,3806
2014-07-24,3557
2014-07-25,3858
2014-07-26,4266
2014-07-27,0
2014-07-28,5372
2014-07-29,5252
2014-07-30,5487
2014-07-31,5106
2014-08-01,5038
2014-08-02,4731
2014-08-03,0
2014-08-04,5655
2014-08-05,5433
2014-08-06,5337
2014-08-07,4154
2014-08-08,4451
2014-08-09,4174
2014-08-10,0
2014-08-11,3886
2014-08-12,3185
2014-08-13,4069
2014-08-14,3906
2014-08-15,3746
2014-08-16,4425
2014-08-17,0
2014-08-18,5623
2014-08-19,5190
2014-08-20,4280
2014-08-21,4327
2014-08-22,3971
2014-08-23,3582
2014-08-24,0
2014-08-25,3414
2014-08-26,3396
2014-08-27,3148
2014-08-28,3920
2014-08-29,3869
2014-08-30,4094
2014-08-31,0
2014-09-01,5464
2014-09-02,5008
2014-09-03,4978
2014-09-04,4346
2014-09-05,4706
2014-09-06,3959
2014-09-07,0
2014-09-08,3676
2014-09-09,3377
2014-09-10,3275
2014-09-11,3392
2014-09-12,3906
2014-09-13,4270
2014-09-14,0
2014-09-15,4611
2014-09-16,4381
2014-09-17,4383
2014-09-18,3740
2014-09-19,4128
2014-09-20,3911
2014-09-21,0
2014-09-22,3982
2014-09-23,3407
2014-09-24,3405
2014-09-25,2462
2014-09-26,3518
2014-09-27,3914
2014-09-28,0
2014-09-29,5280
2014-09-30,4919
2014-10-01,4712
2014-10-02,5400
2014-10-03,0
2014-10-04,5355
2014-10-05,0
2014-10-06,5402
2014-10-07,5439
2014-10-08,4944
2014-10-09,4654
2014-10-10,4396
2014-10-11,4743
2014-10-12,0
2014-10-13,4033
2014-10-14,3681
2014-10-15,3775
2014-10-16,3430
2014-10-17,3720
2014-10-18,4169
2014-10-19,0
2014-10-20,4652
2014-10-21,4678
2014-10-22,4868
2014-10-23,4466
2014-10-24,4196
2014-10-25,4596
2014-10-26,0
2014-10-27,4260
2014-10-28,3364
2014-10-29,3761
2014-10-30,4042
2014-10-31,4161
2014-11-01,6532
2014-11-02,0
2014-11-03,5857
2014-11-04,5253
2014-11-05,4838
2014-11-06,4785
2014-11-07,5220
2014-11-08,4720
2014-11-09,0
2014-11-10,5474
2014-11-11,4479
2014-11-12,4677
2014-11-13,3869
2014-11-14,5334
2014-11-15,4967
2014-11-16,0
2014-11-17,3582
2014-11-18,3890
2014-11-19,3894
2014-11-20,4963
2014-11-21,4594
2014-11-22,5849
2014-11-23,0
2014-11-24,6527
2014-11-25,5815
2014-11-26,5328
2014-11-27,6144
2014-11-28,7195
2014-11-29,7066
2014-11-30,0
2014-12-01,7380
2014-12-02,6467
2014-12-03,6454
2014-12-04,7016
2014-12-05,6207
2014-12-06,6185
2014-12-07,0
2014-12-08,4884
2014-12-09,4345
2014-12-10,4915
2014-12-11,5060
2014-12-12,5269
2014-12-13,7263
2014-12-14,0
2014-12-15,8069
2014-12-16,7739
2014-12-17,7523
2014-12-18,7785
2014-12-19,7558
2014-12-20,8367
2014-12-21,0
2014-12-22,9331
2014-12-23,7959
2014-12-24,3659
2014-12-25,0
2014-12-26,0
2014-12-27,6057
2014-12-28,0
2014-12-29,6463
2014-12-30,6466
2014-12-31,2605
2015-01-01,0
2015-01-02,5509
2015-01-03,5023
2015-01-04,0
2015-01-05,6239
2015-01-06,4574
2015-01-07,4796
2015-01-08,3716
2015-01-09,3998
2015-01-10,4599
2015-01-11,0
2015-01-12,5346
2015-01-13,4924
2015-01-14,4541
2015-01-15,4295
2015-01-16,4161
2015-01-17,5255
2015-01-18,0
2015-01-19,3721
2015-01-20,3680
2015-01-21,3299
2015-01-22,3492
2015-01-23,3586
2015-01-24,4840
2015-01-25,0
2015-01-26,4781
2015-01-27,4806
2015-01-28,4310
2015-01-29,5171
2015-01-30,5577
2015-01-31,5363
2015-02-01,0
2015-02-02,6038
2015-02-03,4901
2015-02-04,4672
2015-02-05,4394
2015-02-06,5022
2015-02-07,4663
2015-02-08,0
2015-02-09,3965
2015-02-10,3136
2015-02-11,3735
2015-02-12,3900
2015-02-13,4726
2015-02-14,5015
2015-02-15,0
2015-02-16,4303
2015-02-17,4833
2015-02-18,4180
2015-02-19,4460
2015-02-20,4651
2015-02-21,4475
2015-02-22,0
2015-02-23,3598
2015-02-24,4054
2015-02-25,3875
2015-02-26,4042
2015-02-27,4708
2015-02-28,5289
2015-03-01,0
2015-03-02,5942
2015-03-03,5451
2015-03-04,5568
2015-03-05,4419
2015-03-06,5397
2015-03-07,4592
2015-03-08,0
2015-03-09,3701
2015-03-10,3805
2015-03-11,4170
2015-03-12,3141
2015-03-13,3725
2015-03-14,5225
2015-03-15,0
2015-03-16,5695
2015-03-17,4806
2015-03-18,3858
2015-03-19,4748
2015-03-20,4057
2015-03-21,3909
2015-03-22,0
2015-03-23,3565
2015-03-24,3547
2015-03-25,3531
2015-03-26,3932
2015-03-27,4005
2015-03-28,5208
2015-03-29,0
2015-03-30,6714
2015-03-31,6206
2015-04-01,6816
2015-04-02,6574
2015-04-03,0
2015-04-04,6709
2015-04-05,0
2015-04-06,0
2015-04-07,4163
2015-04-08,4194
2015-04-09,3467
2015-04-10,3549
2015-04-11,4173
2015-04-12,0
2015-04-13,5377
2015-04-14,4648
2015-04-15,4110
2015-04-16,4116
2015-04-17,4718
2015-04-18,4594
2015-04-19,0
2015-04-20,3722
2015-04-21,3037
2015-04-22,3319
2015-04-23,3076
2015-04-24,3198
2015-04-25,4318
2015-04-26,0
2015-04-27,5575
2015-04-28,5199
2015-04-29,5775
2015-04-30,6228
2015-05-01,0
2015-05-02,5850
2015-05-03,0
2015-05-04,5591
2015-05-05,4564
2015-05-06,4960
2015-05-07,4529
2015-05-08,4683
2015-05-09,4945
2015-05-10,0
2015-05-11,3551
2015-05-12,3547
2015-05-13,3998
2015-05-14,0
2015-05-15,4178
2015-05-16,4431
2015-05-17,0
2015-05-18,5280
2015-05-19,5235
2015-05-20,4735
2015-05-21,3755
2015-05-22,4459
2015-05-23,4276
2015-05-24,0
2015-05-25,0
2015-05-26,4211
2015-05-27,4083
2015-05-28,4111
2015-05-29,4656
2015-05-30,5592
2015-05-31,0
2015-06-01,5774
2015-06-02,5450
2015-06-03,5809
2015-06-04,0
2015-06-05,5384
2015-06-06,4183
2015-06-07,0
2015-06-08,4071
2015-06-09,4102
2015-06-10,3591
2015-06-11,3627
2015-06-12,3695
2015-06-13,4256
2015-06-14,0
2015-06-15,5518
2015-06-16,4852
2015-06-17,4000
2015-06-18,4645
2015-06-19,4202
2015-06-20,4097
2015-06-21,0
2015-06-22,3846
2015-06-23,3762
2015-06-24,3346
2015-06-25,3533
2015-06-26,3317
2015-06-27,4019
2015-06-28,0
2015-06-29,5197
2015-06-30,5735
2015-07-01,5223
2015-07-02,5558
2015-07-03,4665
2015-07-04,4797
2015-07-05,0
2015-07-06,4359
2015-07-07,3650
2015-07-08,3797
2015-07-09,3897
2015-07-10,3808
2015-07-11,3530
2015-07-12,0
2015-07-13,5054
2015-07-14,5042
2015-07-15,4767
2015-07-16,4427
2015-07-17,4852
2015-07-18,4406
2015-07-19,0
2015-07-20,4395
2015-07-21,3558
2015-07-22,3464
2015-07-23,3769
2015-07-24,3706
2015-07-25,4364
2015-07-26,0
2015-07-27,6102
2015-07-28,5011
2015-07-29,4782
2015-07-30,5020
2015-07-31,5263
